return_id,order_id,order_item_id,product_id,customer_id,return_date,return_reason,refund_amount
RET00045,ORD000429,OI000894,PROD0040,CUST00268,2024-09-12,Better Price Found Elsewhere,14340.56
RET00046,ORD000432,OI000899,PROD0013,CUST00549,2025-09-05,Better Price Found Elsewhere,2374.52
RET00047,ORD000458,OI000947,PROD0050,CUST00378,2024-11-11,Wrong Item Delivered,750.27
RET00048,ORD000470,OI000970,PROD0010,CUST00101,2025-02-25,Quality Issue,11646.98
RET00049,ORD000477,OI000985,PROD0049,CUST00421,2025-04-16,Product Damaged,482.17
RET00050,ORD000487,OI001004,PROD0045,CUST00469,2024-11-07,Size/Fit Issue,1202.26
RET00051,ORD000491,OI001016,PROD0034,CUST00162,2026-01-02,Wrong Item Delivered,1246.0
RET00052,ORD000493,OI001022,PROD0031,CUST00229,2024-05-04,Better Price Found Elsewhere,1553.38
RET00053,ORD000497,OI001030,PROD0014,CUST00032,2024-08-11,Size/Fit Issue,2757.65
RET00054,ORD000501,OI001041,PROD0045,CUST00558,2025-12-06,Size/Fit Issue,1202.26
RET00055,ORD000513,OI001065,PROD0015,CUST00380,2025-11-28,Wrong Item Delivered,1188.01
RET00056,ORD000514,OI001066,PROD0014,CUST00453,2025-11-26,Wrong Item Delivered,5515.3
RET00057,ORD000526,OI001090,PROD0021,CUST00404,2025-06-29,Size/Fit Issue,10022.28
RET00058,ORD000532,OI001102,PROD0011,CUST00595,2024-10-28,Not as Described,1364.75
RET00059,ORD000553,OI001149,PROD0030,CUST00021,2025-10-20,Product Damaged,3300.98
RET00060,ORD000558,OI001159,PROD0024,CUST00422,2024-04-23,Better Price Found Elsewhere,3493.68
RET00061,ORD000563,OI001168,PROD0013,CUST00313,2024-06-21,Better Price Found Elsewhere,2255.79
RET00062,ORD000572,OI001188,PROD0049,CUST00073,2025-05-23,Changed Mind,482.17
RET00063,ORD000620,OI001286,PROD0044,CUST00116,2025-12-22,Quality Issue,280.03
RET00064,ORD000621,OI001287,PROD0019,CUST00549,2025-10-04,Product Damaged,813.88
RET00065,ORD000628,OI001299,PROD0050,CUST00138,2025-09-19,Size/Fit Issue,750.27
RET00066,ORD000629,OI001300,PROD0050,CUST00396,2025-03-28,Better Price Found Elsewhere,750.27
RET00067,ORD000634,OI001308,PROD0032,CUST00493,2025-09-27,Changed Mind,1282.68
RET00068,ORD000643,OI001330,PROD0030,CUST00174,2025-04-16,Quality Issue,2316.48
RET00069,ORD000644,OI001331,PROD0027,CUST00430,2025-08-07,Better Price Found Elsewhere,13645.22
RET00070,ORD000661,OI001366,PROD0024,CUST00310,2024-03-07,Better Price Found Elsewhere,2969.63
RET00071,ORD000667,OI001377,PROD0002,CUST00115,2024-12-16,Wrong Item Delivered,4273.58
RET00072,ORD000680,OI001406,PROD0001,CUST00364,2026-01-01,Quality Issue,2532.14
RET00073,ORD000681,OI001409,PROD0043,CUST00287,2025-02-17,Better Price Found Elsewhere,2768.56
RET00074,ORD000696,OI001452,PROD0040,CUST00252,2025-12-14,Product Damaged,5311.32
RET00075,ORD000713,OI001485,PROD0015,CUST00074,2024-05-01,Not as Described,2501.08
RET00076,ORD000718,OI001493,PROD0049,CUST00286,2025-09-09,Size/Fit Issue,458.06
RET00077,ORD000720,OI001497,PROD0013,CUST00162,2024-06-24,Better Price Found Elsewhere,2374.52
RET00078,ORD000725,OI001506,PROD0007,CUST00239,2025-06-12,Better Price Found Elsewhere,2158.52
RET00079,ORD000735,OI001523,PROD0007,CUST00335,2025-10-21,Size/Fit Issue,2158.52
RET00080,ORD000737,OI001526,PROD0049,CUST00197,2024-06-15,Wrong Item Delivered,867.91
RET00081,ORD000738,OI001529,PROD0028,CUST00388,2025-11-09,Quality Issue,9171.98
RET00082,ORD000741,OI001540,PROD0032,CUST00197,2024-12-30,Better Price Found Elsewhere,1603.35
RET00083,ORD000745,OI001545,PROD0050,CUST00410,2025-02-26,Not as Described,675.24
RET00084,ORD000754,OI001566,PROD0040,CUST00137,2024-07-30,Changed Mind,5045.75
RET00085,ORD000756,OI001570,PROD0049,CUST00115,2024-09-14,Wrong Item Delivered,433.95
RET00086,ORD000762,OI001580,PROD0049,CUST00299,2025-08-16,Not as Described,458.06
RET00087,ORD000782,OI001624,PROD0040,CUST00139,2025-02-12,Not as Described,4514.62
RET00088,ORD000790,OI001647,PROD0007,CUST00250,2025-11-14,Changed Mind,4556.86
RET00089,ORD000796,OI001666,PROD0029,CUST00279,2025-12-18,Quality Issue,2073.63
RET00090,ORD000801,OI001676,PROD0023,CUST00046,2025-09-29,Changed Mind,2035.65
RET00091,ORD000809,OI001698,PROD0013,CUST00569,2025-10-29,Wrong Item Delivered,2018.34
RET00092,ORD000817,OI001716,PROD0049,CUST00035,2025-08-09,Better Price Found Elsewhere,409.84
RET00093,ORD000819,OI001719,PROD0039,CUST00584,2025-06-14,Size/Fit Issue,612.96
RET00094,ORD000820,OI001720,PROD0031,CUST00172,2024-12-19,Not as Described,862.99
RET00095,ORD000830,OI001736,PROD0031,CUST00532,2025-09-29,Changed Mind,862.99
RET00096,ORD000835,OI001744,PROD0018,CUST00573,2025-03-13,Changed Mind,3976.36
RET00097,ORD000838,OI001751,PROD0007,CUST00391,2025-02-28,Wrong Item Delivered,2158.52
RET00098,ORD000855,OI001786,PROD0008,CUST00224,2024-07-11,Size/Fit Issue,1778.05
RET00099,ORD000878,OI001832,PROD0013,CUST00068,2024-10-30,Product Damaged,2137.07
RET00100,ORD000882,OI001841,PROD0007,CUST00252,2025-07-05,Size/Fit Issue,4077.2
RET00101,ORD000891,OI001859,PROD0049,CUST00595,2024-10-29,Product Damaged,482.17
RET00102,ORD000894,OI001864,PROD0049,CUST00047,2024-06-17,Quality Issue,482.17
RET00103,ORD000898,OI001874,PROD0008,CUST00035,2025-08-28,Changed Mind,1055.72
RET00104,ORD000903,OI001885,PROD0007,CUST00143,2024-09-02,Size/Fit Issue,2038.6
RET00105,ORD000917,OI001915,PROD0023,CUST00354,2025-03-13,Product Damaged,2142.79
RET00106,ORD000919,OI001920,PROD0033,CUST00162,2025-08-01,Product Damaged,2147.45
RET00107,ORD000924,OI001932,PROD0024,CUST00431,2024-06-21,Quality Issue,6637.99
RET00108,ORD000934,OI001949,PROD0049,CUST00130,2025-11-05,Wrong Item Delivered,482.17
RET00109,ORD000937,OI001954,PROD0003,CUST00430,2025-07-27,Quality Issue,3142.61
RET00110,ORD000950,OI001976,PROD0007,CUST00036,2024-12-06,Quality Issue,4556.86
RET00111,ORD000953,OI001982,PROD0031,CUST00485,2025-08-15,Product Damaged,690.39
RET00112,ORD000961,OI001999,PROD0013,CUST00352,2025-12-03,Quality Issue,1899.62
RET00113,ORD000963,OI002002,PROD0049,CUST00461,2025-03-03,Better Price Found Elsewhere,482.17
RET00114,ORD000969,OI002017,PROD0013,CUST00185,2025-11-24,Better Price Found Elsewhere,2374.52
RET00115,ORD000978,OI002040,PROD0043,CUST00537,2024-12-20,Changed Mind,2768.56
RET00116,ORD000986,OI002054,PROD0045,CUST00269,2024-01-14,Not as Described,1335.85
RET00117,ORD000990,OI002067,PROD0024,CUST00151,2025-06-24,Wrong Item Delivered,3144.31
RET00118,ORD000991,OI002068,PROD0040,CUST00474,2025-10-05,Product Damaged,5311.32
RET00119,ORD000994,OI002073,PROD0009,CUST00329,2024-12-19,Better Price Found Elsewhere,14388.76
RET00120,ORD000998,OI002078,PROD0002,CUST00328,2025-07-16,Better Price Found Elsewhere,8547.16
RET00121,ORD001011,OI002097,PROD0013,CUST00157,2025-10-24,Changed Mind,2255.79
RET00122,ORD001014,OI002101,PROD0007,CUST00275,2025-03-13,Wrong Item Delivered,2158.52
RET00123,ORD001018,OI002110,PROD0049,CUST00595,2024-12-24,Size/Fit Issue,867.91
RET00124,ORD001048,OI002166,PROD0021,CUST00348,2025-01-07,Size/Fit Issue,3340.76
RET00125,ORD001073,OI002211,PROD0028,CUST00341,2025-09-16,Wrong Item Delivered,7337.58
RET00126,ORD001075,OI002215,PROD0007,CUST00484,2025-12-06,Wrong Item Delivered,1918.68
RET00127,ORD001081,OI002229,PROD0044,CUST00421,2025-01-08,Size/Fit Issue,311.15
RET00128,ORD001096,OI002250,PROD0013,CUST00121,2025-07-26,Quality Issue,4511.59
RET00129,ORD001110,OI002279,PROD0049,CUST00510,2024-09-13,Better Price Found Elsewhere,867.91
RET00130,ORD001114,OI002289,PROD0044,CUST00251,2024-08-13,Not as Described,622.3
RET00131,ORD001122,OI002308,PROD0043,CUST00227,2025-07-21,Wrong Item Delivered,2622.84
RET00132,ORD001123,OI002310,PROD0007,CUST00061,2025-11-16,Quality Issue,2398.35
RET00133,ORD001124,OI002314,PROD0031,CUST00237,2025-04-09,Better Price Found Elsewhere,862.99
RET00134,ORD001136,OI002341,PROD0012,CUST00068,2025-06-28,Better Price Found Elsewhere,1572.6
RET00135,ORD001141,OI002349,PROD0013,CUST00445,2024-09-24,Product Damaged,4511.59
RET00136,ORD001150,OI002366,PROD0007,CUST00124,2024-07-12,Product Damaged,4796.7
RET00137,ORD001163,OI002393,PROD0031,CUST00448,2025-05-20,Not as Described,862.99
RET00138,ORD001181,OI002435,PROD0044,CUST00309,2025-02-26,Wrong Item Delivered,622.3
RET00139,ORD001187,OI002451,PROD0032,CUST00542,2025-08-13,Changed Mind,1443.02
RET00140,ORD001190,OI002454,PROD0050,CUST00408,2025-05-31,Quality Issue,1500.54
RET00141,ORD001194,OI002462,PROD0017,CUST00461,2025-03-04,Changed Mind,4300.66
RET00142,ORD001203,OI002480,PROD0049,CUST00014,2025-11-20,Better Price Found Elsewhere,964.34
RET00143,ORD001209,OI002491,PROD0031,CUST00502,2025-11-20,Better Price Found Elsewhere,1725.98
RET00144,ORD001215,OI002503,PROD0013,CUST00227,2025-07-08,Wrong Item Delivered,4749.04
RET00145,ORD001228,OI002530,PROD0006,CUST00534,2026-01-03,Not as Described,1118.29
RET00146,ORD001237,OI002550,PROD0049,CUST00002,2025-11-13,Not as Described,458.06
RET00147,ORD001241,OI002559,PROD0004,CUST00075,2024-07-07,Changed Mind,1971.0
RET00148,ORD001253,OI002590,PROD0033,CUST00374,2025-09-12,Size/Fit Issue,2386.05
RET00149,ORD001254,OI002591,PROD0004,CUST00024,2024-09-16,Not as Described,3942.0
RET00150,ORD001257,OI002595,PROD0045,CUST00378,2025-01-04,Size/Fit Issue,1202.26
RET00151,ORD001277,OI002637,PROD0007,CUST00283,2025-11-17,Better Price Found Elsewhere,2398.35
RET00152,ORD001281,OI002648,PROD0031,CUST00038,2025-07-17,Changed Mind,690.39
RET00153,ORD001285,OI002658,PROD0049,CUST00117,2025-09-21,Size/Fit Issue,458.06
RET00154,ORD001301,OI002692,PROD0032,CUST00547,2025-11-12,Not as Described,1362.85
RET00155,ORD001328,OI002750,PROD0020,CUST00421,2025-03-28,Size/Fit Issue,4914.12
RET00156,ORD001330,OI002756,PROD0032,CUST00031,2024-04-06,Wrong Item Delivered,1603.35
RET00157,ORD001342,OI002778,PROD0020,CUST00014,2025-11-19,Changed Mind,9828.24
RET00158,ORD001343,OI002779,PROD0026,CUST00373,2024-03-15,Quality Issue,2290.14
RET00159,ORD001350,OI002793,PROD0048,CUST00258,2024-07-30,Quality Issue,1227.19
RET00160,ORD001357,OI002806,PROD0034,CUST00244,2025-08-19,Not as Described,1121.4
RET00161,ORD001409,OI002909,PROD0049,CUST00583,2024-12-01,Not as Described,409.84
RET00162,ORD001412,OI002912,PROD0050,CUST00236,2025-01-01,Not as Described,1500.54
RET00163,ORD001414,OI002914,PROD0050,CUST00304,2025-05-13,Size/Fit Issue,1500.54
RET00164,ORD001416,OI002917,PROD0036,CUST00014,2025-10-27,Changed Mind,3616.42
RET00165,ORD001421,OI002929,PROD0019,CUST00186,2025-01-09,Size/Fit Issue,1819.25
RET00166,ORD001427,OI002937,PROD0025,CUST00309,2025-11-06,Size/Fit Issue,2391.97
RET00167,ORD001444,OI002977,PROD0033,CUST00538,2025-11-12,Product Damaged,4772.1
RET00168,ORD001447,OI002984,PROD0049,CUST00567,2025-10-18,Size/Fit Issue,482.17
RET00169,ORD001450,OI002988,PROD0007,CUST00549,2025-09-24,Wrong Item Delivered,2038.6
RET00170,ORD001472,OI003029,PROD0040,CUST00193,2024-06-07,Product Damaged,10622.64
RET00171,ORD001480,OI003046,PROD0007,CUST00209,2025-08-15,Wrong Item Delivered,2398.35
RET00172,ORD001482,OI003048,PROD0029,CUST00453,2025-09-15,Wrong Item Delivered,1762.59
RET00173,ORD001487,OI003059,PROD0024,CUST00011,2024-09-11,Not as Described,3319.0
RET00174,ORD001490,OI003064,PROD0004,CUST00595,2024-11-12,Not as Described,1675.35
RET00175,ORD001500,OI003096,PROD0019,CUST00559,2025-03-29,Better Price Found Elsewhere,957.5
RET00176,ORD001504,OI003107,PROD0010,CUST00189,2025-12-01,Not as Described,14558.72
RET00177,ORD001539,OI003166,PROD0017,CUST00397,2024-12-26,Not as Described,4300.66
RET00178,ORD001541,OI003171,PROD0049,CUST00370,2024-04-12,Better Price Found Elsewhere,409.84
RET00179,ORD001543,OI003174,PROD0044,CUST00463,2025-04-06,Wrong Item Delivered,622.3
RET00180,ORD001546,OI003180,PROD0049,CUST00475,2025-02-10,Changed Mind,1374.18
RET00181,ORD001555,OI003204,PROD0049,CUST00157,2024-09-12,Quality Issue,482.17
RET00182,ORD001556,OI003205,PROD0049,CUST00284,2025-05-29,Quality Issue,867.91
RET00183,ORD001557,OI003206,PROD0007,CUST00067,2024-10-06,Product Damaged,2398.35
RET00184,ORD001599,OI003302,PROD0049,CUST00005,2025-12-10,Not as Described,458.06
RET00185,ORD001608,OI003332,PROD0050,CUST00329,2024-06-17,Not as Described,750.27
RET00186,ORD001610,OI003339,PROD0019,CUST00068,2024-10-30,Wrong Item Delivered,909.62
RET00187,ORD001611,OI003341,PROD0049,CUST00432,2025-09-03,Not as Described,482.17
RET00188,ORD001638,OI003393,PROD0007,CUST00434,2025-12-26,Not as Described,1918.68
RET00189,ORD001639,OI003395,PROD0034,CUST00328,2024-07-10,Quality Issue,498.4
RET00190,ORD001654,OI003419,PROD0001,CUST00329,2024-06-17,Wrong Item Delivered,2978.99
RET00191,ORD001664,OI003440,PROD0013,CUST00095,2024-12-08,Not as Described,2374.52
RET00192,ORD001667,OI003449,PROD0044,CUST00061,2025-11-30,Wrong Item Delivered,311.15
RET00193,ORD001675,OI003462,PROD0049,CUST00410,2025-03-05,Size/Fit Issue,409.84
RET00194,ORD001696,OI003502,PROD0040,CUST00453,2024-02-23,Size/Fit Issue,5045.75
RET00195,ORD001704,OI003517,PROD0013,CUST00410,2026-01-10,Better Price Found Elsewhere,2374.52
RET00196,ORD001747,OI003601,PROD0040,CUST00558,2024-06-24,Changed Mind,4514.62
RET00197,ORD001751,OI003609,PROD0018,CUST00361,2025-11-29,Better Price Found Elsewhere,3348.51
RET00198,ORD001759,OI003625,PROD0015,CUST00299,2024-12-10,Wrong Item Delivered,1250.54
RET00199,ORD001772,OI003650,PROD0034,CUST00595,2025-07-08,Size/Fit Issue,529.55
RET00200,ORD001773,OI003651,PROD0044,CUST00061,2024-03-19,Product Damaged,248.92
RET00201,ORD001779,OI003670,PROD0007,CUST00405,2025-06-23,Changed Mind,4077.2
RET00202,ORD001796,OI003709,PROD0050,CUST00437,2025-05-09,Wrong Item Delivered,2025.73
RET00203,ORD001807,OI003733,PROD0029,CUST00284,2025-08-26,Changed Mind,3939.9
RET00204,ORD001810,OI003740,PROD0049,CUST00465,2025-03-20,Quality Issue,385.74
RET00205,ORD001818,OI003755,PROD0020,CUST00122,2024-11-26,Size/Fit Issue,4668.41
RET00206,ORD001820,OI003759,PROD0044,CUST00119,2026-01-06,Wrong Item Delivered,622.3
RET00207,ORD001823,OI003767,PROD0013,CUST00422,2025-06-18,Better Price Found Elsewhere,4749.04
RET00208,ORD001844,OI003805,PROD0040,CUST00459,2025-08-23,Wrong Item Delivered,4780.19
RET00209,ORD001850,OI003816,PROD0011,CUST00502,2024-09-23,Product Damaged,1091.8
RET00210,ORD001871,OI003857,PROD0007,CUST00072,2024-11-22,Changed Mind,7195.05
RET00211,ORD001881,OI003877,PROD0049,CUST00299,2025-12-26,Wrong Item Delivered,482.17
RET00212,ORD001894,OI003901,PROD0011,CUST00296,2024-03-04,Size/Fit Issue,1364.75
RET00213,ORD001908,OI003928,PROD0034,CUST00558,2025-10-13,Quality Issue,623.0
RET00214,ORD001909,OI003929,PROD0031,CUST00279,2025-11-08,Size/Fit Issue,733.54
RET00215,ORD001916,OI003942,PROD0004,CUST00176,2025-09-25,Product Damaged,3942.0
RET00216,ORD001939,OI003999,PROD0029,CUST00589,2025-04-25,Quality Issue,4147.26
RET00217,ORD001947,OI004015,PROD0044,CUST00489,2025-07-21,Changed Mind,311.15
RET00218,ORD001950,OI004022,PROD0030,CUST00463,2024-09-21,Not as Described,1042.42
RET00219,ORD001954,OI004032,PROD0013,CUST00445,2025-08-08,Wrong Item Delivered,4749.04
RET00220,ORD001958,OI004039,PROD0009,CUST00537,2025-03-16,Better Price Found Elsewhere,6834.66
RET00221,ORD001959,OI004041,PROD0050,CUST00403,2024-12-22,Not as Described,637.73
RET00222,ORD001965,OI004060,PROD0030,CUST00061,2025-03-14,Product Damaged,1100.33
RET00223,ORD001975,OI004080,PROD0049,CUST00570,2024-03-21,Quality Issue,433.95
RET00224,ORD001986,OI004098,PROD0024,CUST00414,2024-04-11,Changed Mind,3144.31
RET00225,ORD002001,OI004124,PROD0013,CUST00288,2025-02-15,Product Damaged,1899.62
RET00226,ORD002013,OI004148,PROD0034,CUST00179,2025-03-27,Not as Described,560.7
RET00227,ORD002015,OI004151,PROD0011,CUST00523,2025-07-12,Wrong Item Delivered,1228.28
RET00228,ORD002046,OI004229,PROD0004,CUST00496,2025-05-07,Changed Mind,3942.0
RET00229,ORD002048,OI004232,PROD0012,CUST00370,2025-01-13,Wrong Item Delivered,1572.6
RET00230,ORD002057,OI004248,PROD0023,CUST00277,2025-05-31,Changed Mind,2035.65
RET00231,ORD002061,OI004253,PROD0049,CUST00576,2025-11-26,Not as Described,482.17
RET00232,ORD002063,OI004261,PROD0032,CUST00434,2024-01-14,Quality Issue,1362.85
RET00233,ORD002119,OI004375,PROD0032,CUST00468,2025-11-20,Size/Fit Issue,1603.35
RET00234,ORD002125,OI004389,PROD0050,CUST00352,2025-12-16,Better Price Found Elsewhere,1275.46
RET00235,ORD002128,OI004393,PROD0044,CUST00434,2025-12-18,Size/Fit Issue,311.15
RET00236,ORD002132,OI004401,PROD0039,CUST00346,2025-07-13,Not as Described,1362.14
RET00237,ORD002154,OI004448,PROD0049,CUST00423,2025-11-07,Not as Described,482.17
RET00238,ORD002159,OI004462,PROD0044,CUST00314,2025-09-10,Product Damaged,295.59
RET00239,ORD002168,OI004481,PROD0044,CUST00448,2024-03-20,Not as Described,311.15
RET00240,ORD002172,OI004488,PROD0050,CUST00152,2025-08-30,Not as Described,750.27
RET00241,ORD002176,OI004496,PROD0038,CUST00206,2025-07-05,Product Damaged,5743.7
RET00242,ORD002178,OI004502,PROD0030,CUST00587,2025-10-20,Better Price Found Elsewhere,1158.24
RET00243,ORD002180,OI004505,PROD0008,CUST00240,2025-10-11,Not as Described,1111.28
RET00244,ORD002182,OI004509,PROD0045,CUST00316,2025-02-24,Changed Mind,2538.11
RET00245,ORD002231,OI004614,PROD0049,CUST00550,2025-06-15,Wrong Item Delivered,482.17
RET00246,ORD002235,OI004622,PROD0049,CUST00122,2025-07-14,Quality Issue,916.12
RET00247,ORD002239,OI004631,PROD0034,CUST00573,2025-04-27,Changed Mind,623.0
RET00248,ORD002260,OI004676,PROD0013,CUST00279,2025-11-05,Product Damaged,1899.62
RET00249,ORD002265,OI004685,PROD0049,CUST00299,2024-05-06,Quality Issue,964.34
RET00250,ORD002291,OI004741,PROD0041,CUST00348,2025-12-01,Wrong Item Delivered,1650.49
RET00251,ORD002295,OI004747,PROD0013,CUST00313,2025-07-15,Quality Issue,7123.56
RET00252,ORD002313,OI004785,PROD0044,CUST00434,2025-06-11,Better Price Found Elsewhere,264.48
RET00253,ORD002317,OI004797,PROD0029,CUST00339,2025-03-30,Size/Fit Issue,5909.85
RET00254,ORD002324,OI004807,PROD0003,CUST00361,2025-11-28,Not as Described,3142.61
RET00255,ORD002333,OI004823,PROD0011,CUST00445,2024-06-16,Not as Described,2593.02
RET00256,ORD002344,OI004846,PROD0013,CUST00405,2025-04-11,Not as Described,2374.52
RET00257,ORD002357,OI004870,PROD0022,CUST00249,2024-05-18,Better Price Found Elsewhere,2644.7
RET00258,ORD002363,OI004883,PROD0044,CUST00329,2024-11-26,Size/Fit Issue,560.07
RET00259,ORD002364,OI004884,PROD0007,CUST00157,2024-11-20,Better Price Found Elsewhere,2398.35
RET00260,ORD002374,OI004908,PROD0007,CUST00247,2024-08-03,Wrong Item Delivered,2038.6
RET00261,ORD002375,OI004909,PROD0040,CUST00329,2024-10-19,Not as Described,4514.62
RET00262,ORD002380,OI004921,PROD0018,CUST00304,2025-05-15,Better Price Found Elsewhere,4185.64
RET00263,ORD002382,OI004924,PROD0049,CUST00380,2025-09-13,Changed Mind,482.17
RET00264,ORD002391,OI004944,PROD0001,CUST00172,2024-08-01,Quality Issue,2830.04
RET00265,ORD002406,OI004984,PROD0050,CUST00464,2024-12-22,Better Price Found Elsewhere,750.27
RET00266,ORD002416,OI005002,PROD0006,CUST00038,2025-02-24,Not as Described,657.82
RET00267,ORD002430,OI005031,PROD0020,CUST00355,2025-11-26,Size/Fit Issue,4914.12
RET00268,ORD002439,OI005048,PROD0050,CUST00313,2025-11-02,Product Damaged,1200.43
RET00269,ORD002450,OI005069,PROD0007,CUST00286,2025-09-08,Quality Issue,4796.7
RET00270,ORD002467,OI005109,PROD0050,CUST00598,2025-07-30,Changed Mind,712.76
RET00271,ORD002475,OI005128,PROD0049,CUST00510,2025-10-13,Changed Mind,458.06
RET00272,ORD002478,OI005133,PROD0049,CUST00428,2025-07-20,Not as Described,409.84
RET00273,ORD002488,OI005161,PROD0040,CUST00236,2024-11-23,Size/Fit Issue,9560.38
RET00274,ORD002504,OI005197,PROD0007,CUST00448,2025-01-08,Size/Fit Issue,4556.86
RET00275,ORD002508,OI005204,PROD0007,CUST00365,2025-06-27,Wrong Item Delivered,2398.35
RET00276,ORD002519,OI005227,PROD0007,CUST00502,2024-11-29,Better Price Found Elsewhere,2038.6
RET00277,ORD002522,OI005233,PROD0007,CUST00332,2024-03-26,Better Price Found Elsewhere,2278.43
RET00278,ORD002524,OI005235,PROD0013,CUST00142,2025-11-29,Quality Issue,2018.34
RET00279,ORD002532,OI005255,PROD0028,CUST00014,2025-11-19,Size/Fit Issue,14675.17
RET00280,ORD002533,OI005257,PROD0007,CUST00072,2025-05-01,Changed Mind,4317.03
RET00281,ORD002547,OI005287,PROD0040,CUST00445,2024-06-24,Changed Mind,9029.24
RET00282,ORD002558,OI005305,PROD0013,CUST00051,2024-06-10,Changed Mind,2374.52
RET00283,ORD002573,OI005340,PROD0013,CUST00277,2025-09-13,Size/Fit Issue,2374.52
RET00284,ORD002575,OI005343,PROD0040,CUST00445,2025-07-11,Product Damaged,5311.32
RET00285,ORD002581,OI005355,PROD0011,CUST00041,2024-11-08,Product Damaged,2320.07
RET00286,ORD002583,OI005357,PROD0013,CUST00368,2025-05-28,Quality Issue,2018.34
RET00287,ORD002584,OI005361,PROD0013,CUST00287,2024-06-26,Product Damaged,2374.52
